Index;Start time in milliseconds;End time in milliseconds;"Script"
1;0;2290;"[음악]"
2;2300;5029;"더이상 도랑"
3;5049;10650;"이렇게 한 일 못하겠다 라 4 m5"
4;10670;14310;"뭐라구요 4"
5;14320;16160;"ter"
6;16170;18160;"o a"
7;18170;20269;"아"
8;20289;25410;"어차피 우리 틈엔가 같이 즐겁게 일하면서 성과 더 내보려고 했던가"
9;25420;28050;"내 오시면 채"
10;28060;30960;"무슨 소리에요 말을 알아듣게"
11;30970;36499;"야 이제 나 장 소리야 팀원 마르고"
12;36519;40319;"하시고 싶은대로 하시죠 한날 건 계약서 초안 작성 까지 진행된 것"
13;40329;45420;"같으니까 잠 그리고 마무리 지고 이제 팀의 정도 된거 되게 진짜 내려가"
14;45430;50219;"어떤 아이템이 교실"
15;50239;53110;"re a te"
16;53120;56889;"으 no"
17;56899;61360;"그런데 제가 가지고온 요르단 중국차 거니 난 계속 진행할 게 어"
18;61370;64070;"수입 꾸준한 사업 이니까"
19;64080;66860;"으"
20;66880;74139;"무슨 일인데 그렇게 멀리까지 나오신 거예요"
21;74159;79040;"아까 장 요르단 중구 잠겼던 말이야 뭐 봤어"
22;79050;86240;"아 나 이제 막 불러도 참이었는데"
23;86260;90810;"버 설전은 채무 침범 문제는 어쩌다 끝난건 이때 별 문제 없어 보일 거야"
24;90820;94069;"4 자세히 보면은"
25;94079;97190;"이해가 안되는지 이구요 9 주문 제어"
26;97200;102460;"천명 업체 이익이 지나치게 높게 설정돼 있어"
27;102480;106470;"음 이게 또 끼는 하네요"
28;106480;110340;"그 없죠 규모나 실적도 계약 치면 갑자기 있었어요"
29;110350;116280;"재무제표 장단기 순위 게 특별히 비중이 높아 그런 업체를 학과장이 잡았다"
30;116290;120810;"그런데 그 업체 이익이 n 지나치게 높이 설정되어 있다"
31;120820;123830;"음"
32;123850;127620;"농장 계시오 백마 짐을 받는 다구요"
33;127630;130469;"학과장이 모르지"
34;130479;137270;"그러니까 하고 자고"
35;137290;143200;"아"
36;143220;146570;"r 물 하겠다는 거야 말겠다는 거야"
37;146580;162620;"장 좀 꼼꼼한 다"
38;162640;164530;"으"
39;164540;166920;"아"
40;166940;172299;"기술 검토를 수채 올해 해요 어"
41;172319;176750;"얼마나 키울까 id 확립 및 쐐기 하셔야"
42;176760;179710;"요즘 잊어요"
43;179720;183220;"4 우리 협력업체가 가져가는게"
44;183230;187190;"너무 마라고 해서 말이지"
45;187210;189570;"아이옷 닭 그런걸"
46;189580;193780;"7 쳐들고 많네 적네 해요 확장 한다 면서"
47;193790;197970;"[음악]"
48;197980;202889;"아씨시 무첨가 아"
49;202909;206530;"그냥 접어 적어 봅니다"
50;206540;209690;"사람 지나 채 자는 거야 뭐"
51;209700;212140;"[음악]"
52;212150;216350;"주 처"
53;216370;219990;"음 악 음들이"
54;220000;225570;"어 그 업체 만나봐"
55;225580;229860;"담 당 자 여기 모체와 내부감사 카이 만큼 정확하게 뭐"
56;229870;235850;"내부 관 사 아 자 그래 너도 굉장히 이런 것이구나"
57;235860;237069;"[음악]"
58;237079;239360;"그 때 그"
59;239370;240120;"[음악]"
60;240130;244150;"으"
61;244170;247400;"저쪽 업체는 김종식 내려가 점거해 보낼 수"
62;247410;250030;"황 시켜 오십니다"
63;250040;254540;"[음악]"
64;254550;257240;"뭐 잠"
65;257260;260060;"이미 처리된 개간 들어준 게 어떤 의미인지 잘 짐"
66;260070;261340;"[음악]"
67;261350;264490;"4 으"
68;264510;267920;"그 먼저 끝나지 않을 수 있어요"
69;267930;271320;"달이 더 커질 수 있다는 말이야"
70;271340;276410;"[음악]"
71;276430;280050;"그 결제 사이란 모두가 컬러 있는 문제라고"
72;280060;285230;"알고 2시오"
73;285250;288960;"못 아직 뿜어 사실은 아무도 없습니다"
74;288970;290200;"저희 그거죠"
75;290210;291460;"[음악]"
76;291470;294890;"으"
77;294910;296860;"으 아"
78;296870;302380;"아 신문 타원 인터넷이 걸었어"
79;302400;307060;"빠이 온 어쩐 일이십니까"
80;307080;309499;"잘못이 가려진다"
81;309509;314330;"사람을 미워하면 야 어린 투에서 우리 섭외 가지만 모양입니다"
82;314340;318730;"1 앉으시오 아니야 돼"
83;318740;325060;"나가게 마켓 아 야 이렇게 찾아 올라오면 곤란하지 이상 대여 최대 언젠가"
84;325070;326410;"아니야"
85;326420;330190;"요런 할 거라서 뭐 알고 싶은게 만나본 데 다 자네"
86;330200;334300;"다 설명 지켜야 그렇게는 알수가 없으니 저희가 온 거 아니겠습니까"
87;334310;341380;"이바 사업을 32 말하는 거야 어 절차다 통과될 것에 대해서 대체 뭘 더"
88;341390;345160;"알고 싶다 라는 거야 그 절차가 어떤 절차 인지 알아야 되세요"
89;345170;348400;"니가 감사팀 연 가을 pc"
90;348410;355980;"섬 공식적으로 라고 얘기 입니다"
91;356000;358170;"으"
92;358190;359480;"[음악]"
93;359490;362740;"절차대로 진행하기 위해서"
94;362750;368509;"꽃 감자 팀의 오기로 했습니다"
95;368529;373679;"으 야 근데 너무 일을 크게 만들어 내 1 절약해 준다 5"
96;373689;378400;"설명 단차 팅 하시면 따와 땋아 올린 알아"
97;378410;379559;"[음악]"
98;379569;383400;"창 대신 여기서 4 관련 소리에 손대지 않았으면 합니다"
99;383410;390690;"봐 와아 러쉬가 나사로 돼"
100;390710;395330;"으 악 으"
101;395350;398260;"4"
102;398270;401850;"떠남에 성리 계신가요"
103;401860;404490;"어 머리가 션"
104;404500;408390;"여러분 너 더 아프다고"
105;408400;410350;"너"
106;410360;415500;"[음악]"
107;415520;417580;"아예 선생님 좀 환경입니다"
108;417590;421660;"예 아니 저 옷 이투스 갑자기"
109;421670;427469;"감사를 보내겠다고"
110;427489;432159;"뭐 뭐 뭐 뭐 뭐가 문제야"
111;432169;437690;"체크해서 문제될게 없음 되셨습니까"
112;437710;439640;"이 바"
113;439650;443719;"털어서 먼지 안나는 일이 어디서 어"
114;443729;448249;"더구나 요르단강 같이 다리가 큰 사업은 해석하게 따라서"
115;448259;452570;"먼지를 보느냐 필요 과정으로 보느냐 달라진다고"
116;452580;455820;"따라"
117;455840;458410;"감사 들어온다는 것"
118;458420;461150;"- 친 것이"
119;461160;470079;"죄송합니다 제가 그런 게임을 별로 안좋아해서"
120;470099;477370;"내가 지금 딱 두명 한테 전화할 거야 뭐 부장님 산문 1 c"
121;477380;483250;"내가 이렇게까지 해야 되겠어 어 내가 전함은 이래 싹다 중 거야 뭐 우산"
122;483260;487780;"시간 물론이고 미리 똘마니 까지 싹 따러"
123;487790;490990;"넌 지식 1 그래도 지금 저거 과장님께서"
124;491000;495669;"최정원이 만나고 있을 겁니다"
125;495689;499249;"으 으"
126;499259;501890;"top 5 으"
127;501900;502719;"[음악]"
128;502729;505050;"으"
129;505070;506670;"we"
130;506680;508220;"으"
131;508230;517699;"[음악]"
132;517719;518700;"관련부서 돌"
133;518710;527900;"따 제출해 주십시오 에"
134;527920;537740;"배울 그"
135;537760;541320;"아"
136;541340;543100;"회사의 유리"
137;543110;547300;"지나치게 높게 책정됐다 고 착하지 않습니까"
138;547310;551050;"쿠모 그리고 10조 2 방금전에 요르단에서 온 100 씁니다"
139;551060;556300;"예쁘지만 하겠지만 요르단 업체 쪽에서 저희 회사 를 선택했습니다"
140;556310;561790;"초유의 4로 성도 판형 뉴 욕 할 수 있는 거 아닙니까"
141;561810;565370;"먼 산에 대해서 조속히 정해서 처리하겠습니다"
