Index;Start time in milliseconds;End time in milliseconds;"Script"
1;220;540;"[음악]"
2;550;2929;"으 좋을 비야 음"
3;2939;9949;"해커 야 우리가 절이라는 받아야 하는데 이 차를 하고 있는 상황 아닌가요"
4;9959;12140;"뭐 평내 침몰 작물이 판단으로"
5;12150;16190;"저를 봐야 할게 자가 이사를 해야 잘 안 된 겁니까"
6;16200;18890;"음 차 게임"
7;18900;21520;"뭐 자랑"
8;21530;24580;"으 으"
9;24590;29109;"으 아무래"
10;29119;31999;"무슨 주시오 내가 뭐라고 했다"
11;32009;33100;"[음악]"
12;33110;37010;"으"
13;37030;39600;"첫 그레이 등을 8"
14;39610;42680;"222"
15;42700;45460;"으"
16;45480;47460;"[음악]"
17;47470;52480;"5"
18;52500;61910;"아따 우리 막내가 말 실수 한 거야 아 아냐 증거 없어 아"
19;61920;66770;"이쪽에서 전혀 그렇게 생각하지 않아 할 때 실험 분에게 자락에 여러가지고"
20;66780;70580;"확신 확실하게 가 해주고 싶어서 그런거라고"
21;70590;73590;"억제 하지 마 아"
22;73600;81320;"아노 도키 아예 녹지를 무슨 뭐 벌써 다 죽었지"
23;81340;84550;"그래 어"
24;84560;89320;"단군 창 누나 수잔나 살께 아 그래 수 5"
25;89330;92690;"어 아"
26;92710;95710;"4"
27;95730;105270;"아"
28;105290;109500;"몇 날 끝까지 미친 못한 거야"
29;109520;112360;"차량의 겔 알아서 한다고 했잖아"
30;112370;114910;"아"
31;114930;116940;"참 그래"
32;116950;119230;"잠들어라"
33;119240;122289;"오늘 이건 이행도 에"
34;122299;125110;"오히려"
35;125130;130319;"팀을 더 위험에 빠질 수 있을까 차 글에 아아"
36;130329;132959;"왜 저렇게 바보같은 있을지"
37;132969;137970;"아무리 뭘 몰라도 그렇죠 처럼 석달이 얼마나 불안하고 세요"
38;137980;140789;"저는 이미 부장 이라도 있는 것처럼 몰아가고"
39;140799;146819;"삭제 리가 맞짱 치게 만드는 모양새가 된거라고 요 섭 때는 자기의 말에"
40;146829;151259;"책임을 질 위치가 아니기 때문에 이 상황이 부담 포 느껴지면 어떤 행동"
41;151269;152220;"할 지 몰라"
42;152230;157679;"게다가 적립에 대한 리프 씰 증명할 증거도 근거도 없어 이런 상황에서"
43;157689;159149;"말이 만드시고"
44;159159;166470;"사태가 커지고 전문 이미 정말 아무 잘못이 없다는 게 밝혀지면 그 책은"
45;166480;171130;"원전이 그 말을 처음 시작한 나와"
46;171140;175240;"우리팀이 지게 될 거다 자 거래가"
47;175250;177890;"알았다구 요"
48;177900;179680;"wee"
49;179690;183220;"나름 침을 구하려고 한 행동이 없겠지"
50;183230;186270;"미숙해 찜한"
51;186290;189559;"자기 때문이라고 생각했으니"
52;189569;193430;"목회 엔젤스 거야 아 마침 납시오"
53;193440;196160;"답 후 그 예언이 라 두신 다시"
54;196170;199340;"아니 박 대리님 부자 집 넥스 보내달라고 청소에 대체 몇번을 요청"
55;199350;200060;"있었습니까"
56;200070;203630;"그것도 차일피일 미루다 덜렁 싼 부자재로 교체하고 그것도 한 번도 아니고"
57;203640;207220;"말도 집앞 번씩 이라 제가 절대 안 된다고 말씀 드렸잖아요"
58;207230;208920;"[음악]"
59;208930;211860;"아직 배째라는 겁니까"
60;211870;217199;"2부 정의된 더 안 된다 해결 바가 자시고 다시 연락 주세요"
61;217209;219530;"4"
62;219550;226170;"아 도대체 얼마나 에 적용 과의 섬들이 이렇게"
63;226190;228560;"tel"
64;228570;232730;"전골 부자재 또 바뀌었답니다 그 그래"
65;232740;236450;"기존 구제 구원이 흔들려 그러더니 바꿨나 번에"
66;236460;238520;"바꿨나 보네 이거"
67;238530;243710;"ied 로 끝내 일입니까 이대로 받음에 퀄리티가 풀어야 볼 알고 까불어"
68;243720;249049;"절대 문법도 마침 단정 들어가겠습니다 야"
69;249069;253559;"워터 로라의 필요한 이가 맛이 들어 올해 또 요즘 세상이 어떤 세상인데"
70;253569;258980;"같이 라 랴"
71;259000;261599;"네 아들의 무장이"
72;261609;264659;"아 얘기 들었습니다 말 그대로 진행 하세요"
73;264669;268880;"제가 과장이 가락 받을께요"
74;268900;272709;"아연 나쁘게 맞춘 역사 니 죠"
75;272719;275970;"아니에요 들어 오실 필요 없어요"
76;275980;278170;"아"
77;278190;281090;"자그만 탓이 할게요"
78;281100;283730;"[음악]"
79;283740;288590;"이렇게 ng 가 불 질이 나서 굉장히 없다 자나 언제까지 인지가 싼 톰"
80;288600;299900;"내가 치워야 되는 선물할"
81;299920;303300;"아 보겠습니다 으"
82;303310;306270;"부모님이 와 쉬운듯"
83;306280;308920;"5"
84;308940;311780;"그럼에도 전 4 5"
85;311790;313810;"인주 시대처럼"
86;313820;317980;"무턱대고 신부님 애 둘 수가 없습니다 그"
87;317990;320550;"그래서 0"
88;320560;328950;"b 껀 무슨일이 스폿 되게 만들 겁니다 그러니"
89;328970;333430;"각도와 주십시오 건시 에 관련된 어떤 문제든"
90;333440;336130;"영업 시점에"
91;336140;339190;"그 책임을 묻지 않을 그런 작성됩니다 5"
92;339200;342990;"[음악]"
93;343000;344950;"[웃음]"
94;344960;347230;"[음악]"
95;347240;349140;"적성"
96;349150;351250;"몸 다 된거"
97;351260;355220;"툭 액션에 ci 넘 적 있나 으"
98;355230;357650;"내 전교 출연 만들기 야"
99;357660;360860;"문제 생기면 내가 재미난"
100;360870;366180;"박사 b 됐나"
101;366200;371920;"아 이걸 오던 듯 5 영업 3팀은 모두가 끝을 보기위해 작정한 사람들"
102;371930;373480;"같았다 왔어요"
103;373490;376600;"뭐 이래 맘에 달렸고"
104;376610;380260;"일 외에는 다른 어떤 것에도 마음을 듣고 카시 않았어 129 쓰자"
105;380270;383790;"예 그야 말이라"
106;383810;387400;"예 오셨습니까"
107;387420;392140;"먼저 해주세요"
108;392160;393270;"아"
109;393280;394590;"[박수]"
110;394600;396720;"아"
111;396740;400360;"[음악]"
112;400370;400770;"[박수]"
113;400780;402250;"[음악]"
114;402260;402660;"[박수]"
115;402670;405070;"[음악]"
116;405080;408339;"5 30 처럼 되요 왜 그렇습니다"
117;408349;413439;"폴더에서 나왔습니다 지금 본사 차원에서 정도 높게 역사 김주경 을"
118;413449;417219;"체크하는 중에 제 뭐가 들어 왔어요"
119;417229;418900;"제부"
120;418910;432300;"으 으"
121;432320;435550;"돈사 주제에 경영에 월간 손 이뻐 그의"
122;435560;439780;"최영을 전문 님의 에 중국 사업에 대한 문제제기를 담은"
123;439790;442730;"왼 소가 올라왔습니다"
124;442740;448410;"최고의 따르면 영업 참 침 에녹 주력이 있다고요"
125;448430;449840;"[음악]"
126;449850;451800;"녹취록 되구요 예"
127;451810;454070;"[음악]"
128;454080;456050;"창단 되겠구요"
129;456060;460270;"[음악]"
130;460280;464460;"아 으 으"
131;464470;470270;"아 으"
132;470290;470640;"이렇게"
133;470650;473100;"[음악]"
134;473110;476180;"oh"
135;476200;477930;"좋은거죠"
136;477940;479070;"2"
137;479080;480930;"[음악]"
138;480940;483900;"또 가장 침대 이지만"
139;483910;484180;"에"
140;484190;488960;"[음악]"
141;488980;490050;"트러블과"
142;490060;493360;"이래 g 값이 안쪽은 아닙니다"
143;493370;500140;"[음악]"
144;500160;506590;"으 으"
145;506610;518189;"뭐 좀 음 으"
146;518209;522309;"으 으"
147;522329;527750;"폐 이슈 made rox 아자 언니 뭐 drg 고치는 되니까"
148;527760;532200;"5 멤버스 짜이 지지 아치 다도 공식"
149;532220;537310;"마시쪄 가시 생 살라 7 잘 아시 오셔서 저희 과 더 위시 호주와"
150;537320;543670;"불사 코더 얘 뒤 깨어 아이샤 되더라"
151;543690;547639;"아유 연통 웅성거리며 걍 믿어달라고 여러분 회사까지 찾아와서 부탁했던"
152;547649;549290;"그중 없이 아닙니까"
153;549300;552470;"맞는데 앱이 디어 우리 잖아요"
154;552480;557390;"마저 그 많고 많은 하원에서 좀 1 했던 abd 아운"
155;557400;562490;"대학 전면 재검토 아잔타 이게 다예요 3팀 때 우리 잖아요"
156;562500;566480;"오 차장의 포실 연구 서쪽의 관 18년 레이저 특히 보드 했던게"
157;566490;571430;"중국 업체 전체 소문 쫙 난 모양이에요 그러니깐 진짜"
158;571440;574900;"저버린 당한 것도 편한데"
159;574920;578380;"하 회사 다 시험 찾아보죠"
160;578390;582369;"예 있어 보겠습니까 자"
161;582389;584960;"아 역시 임박해서 업체 수정은 내고도 어려워"
162;584970;589939;"일본 업체 밖에 설명할 것이 없을 텐데 왜곡 아픈 방법조차 깊었는데"
163;589949;595369;"아 진짜 게시판에 그럴 거에요 어찌 나 몰라라 제가 전 업체 선정이"
164;595379;596359;"뵙겠습니다"
165;596369;599809;"아예 오찬을 걱정하는 걸 알겠는데"
166;599819;608099;"울만 문제가 아니야 중국적 엮여 있는 팀들도 다 타격이 있을 거라고"
167;608119;611559;"어"
168;611579;615069;"무슨 일이 있습니까"
169;615089;618890;"이상하네"
170;618910;621440;"조엘"
171;621460;626850;"라우스 비장탄 수입 건요 재무장 임신까지 떨어졌는데"
172;626860;630130;"본부장님 결제가 안 났네요"
173;630140;632710;"알려요"
174;632720;635680;"아 진짜 너무하네 회사"
175;635690;638680;"그러니깐요 에 10"
176;638690;646839;"3팀 요즘 집에 와서 한 것도 없잖아"
177;646859;654170;"예 몸상태 못 상식입니다"
178;654190;656340;"이게 중국 층에서 들어온"
179;656350;660780;"다 클레이 이렇게 만큼의 처음이라고 하네요"
180;660790;662280;"너무 팀에서도"
181;662290;667090;"어떻게 처리해야 할지 난감해"
182;667110;669570;"[음악]"
183;669580;676050;"이런 말씀드리긴 대단히 죄송 하지만 과거의 오자 님께서 적응해서 손을"
184;676060;678750;"댔던 사업자로 물론이고"
185;678760;682650;"영어 상태가 관련된 사업들은"
186;682660;686490;"모조리 거절 당하고 있는 상황입니다"
187;686510;690880;"다른 팀들의 선애가 가수로 커즈 웃습니다"
188;690890;695770;"제가 책임을 져야 한다 던"
189;695780;699420;"말씀을 하신 건가요"
190;699440;704400;"아 꼭 그렇다 말씀드리는 게 아닙니다 으"
191;704420;709129;"아"
192;709149;716740;"그러자 에도 이걸 개인이 책임지는 방어회 않게"
193;716760;718220;"아 자 아무튼"
194;718230;722210;"중국 업체들은 습관 씨를 문제 사는 원 인턴은"
195;722220;725270;"거래하기 부담스럽다고 계속 앞이 중이라"
196;725280;729350;"할 수 없이 카틴 에서"
197;729360;735140;"그럼 원인 터가 아닌 한 개인의 독단적인 행동이었다 고 수술 약하면서"
198;735150;737840;"4 오라버니 섬입니다"
199;737850;744250;"그래 분 3 최씨 않아요 그래서 회사의 창세 는"
200;744260;747970;"오자 장님을 해고했다 는 채 술에 취한 갑니다"
201;747980;749019;"으"
202;749029;753070;"하지만 징계도 받지 않은 지금은"
203;753080;754500;"해고 시킬 수는 것이오"
204;754510;760150;"[음악]"
205;760170;763430;"없습니다 아"
206;763450;772359;"아"
207;772379;779660;"비탈 toi"
208;779680;790720;"3"
209;790740;791490;"4 5"
210;791500;794980;"[음악]"
211;795000;799040;"co"
212;799060;805470;"에"
213;805490;813439;"아"
214;813459;823389;"5 아"
215;823409;830970;"어"
216;830990;853450;"아"
217;853470;855269;"[음악]"
218;855279;858270;"아아아"
219;858290;862389;"으 아 아 아 아 아 아"
220;862399;867939;"야 자녀분 그거 아프다 우 야 청화 장 촘촘히 엮어 준 때야 너무 다음"
221;867949;869170;"번에 막"
222;869180;874689;"시킬 수 없어 아 아 아 예"
223;874699;878379;"얘 얼굴 뭐겠어 또 됐죠"
224;878389;883090;"g 빔 보다 해 봤습니까 더 하지만 맞닿아"
225;883100;891420;"앞에 흔들어 된다는 좀 슬림 하지 않아 cnc 대패 부수자 나라"
226;891440;893590;"9단님"
227;893600;899670;"1 맡은 단연 철 정리해고 대자 드는데요"
228;899690;905309;"정말 엉 인데요"
229;905329;912869;"아 너 다함 산과 혼자만 we 아세요"
230;912889;919150;"뭐 얘기한 바 ez 무한장어 한국 무슨 걸 봐 아내가 주 따 보라고"
231;919160;926360;"이럼 작업 뭐야 그 막 눌러 근데 할 원체 4강 시점을 아닌 않겠어요"
232;926380;930120;"아 나 지금까지 예"
233;930130;935720;"어리지만 서 아 얜 뭐야 되는 거야"
234;935730;939280;"미러 물이 부자들이 고구마"
235;939300;944360;"인형 유기 눈 6 조 아니죠"
236;944370;949360;"나는 왜 나 이걸로 하자"
237;949380;961240;"222"
238;961260;966140;"쌈바 사물 배워봐요 아군 배워야 할 거야 예"
239;966150;969710;"에라 되요 운판 5화 해 줘 어"
240;969720;973880;"한 번은 병을 믿음 하려는데 살짝 발탁돼 기보 싶었어"
241;973890;980580;"좀 말 이란과 부장님 허공과 장손 차장급"
242;980590;985440;"으 아 뭘"
243;985450;987120;"아아앗"
244;987130;993020;"아 아 아 아저씨 한테 불이 없어야 제"
245;993040;1000850;"들었잖아"
246;1000870;1003470;"싱아"
247;1003490;1004460;"그 개인들이 야"
248;1004470;1005480;"[박수]"
249;1005490;1013689;"[음악]"
250;1013709;1015350;"222"
251;1015360;1024680;"5"
252;1024700;1027830;"아"
253;1027850;1031530;"222 4"
254;1031550;1035779;"으 아"
255;1035799;1039409;"안 취 때니까"
256;1039429;1043590;"뭘 접어든 거죠 구단 아 예"
257;1043600;1048439;"쌓아 a b 때"
258;1048459;1050700;"ot"
259;1050710;1057470;"다르니까"
260;1057490;1060690;"그럼 가보겠습니다"
261;1060710;1072690;"그래 가 그렇지 않 다운자 꿈 찾아오고 그러한데"
262;1072710;1076230;"제가"
263;1076250;1079159;"에"
264;1079179;1081850;"아무르"
265;1081870;1085279;"네 에"
266;1085299;1090920;"너 뭐라고 그랬어요"
267;1090940;1093070;"어떻게 알아"
268;1093080;1095490;"그리고 으"
269;1095500;1098950;"이겨라"
270;1098970;1106340;"6 인가요"
271;1106360;1119860;"윤제가"
272;1119880;1124630;"[음악]"
273;1124650;1126230;"으"
274;1126240;1130240;"[음악]"
275;1130260;1131950;"으"
276;1131960;1133990;"[음악]"
277;1134000;1137580;"으"
